Gene end (bp),Gene start (bp),Gene name,Gene stable ID,Source of gene name,Gene Synonym
21032840,21028718,SLC7A4,ENSG00000099960,HGNC Symbol,HCAT3
21032840,21028718,SLC7A4,ENSG00000099960,HGNC Symbol,VH
21044117,21031354,,ENSG00000226872,,
21034272,21034176,MIR649,ENSG00000207575,HGNC Symbol,hsa-mir-649
21034272,21034176,MIR649,ENSG00000207575,HGNC Symbol,MIRN649
21045017,21035243,P2RX6P,ENSG00000206145,HGNC Symbol,
21064168,21045960,LRRC74B,ENSG00000187905,HGNC Symbol,
21070097,21065462,TUBA3GP,ENSG00000249680,HGNC Symbol,
21081018,21071082,,ENSG00000284665,,
21122286,21102984,BCRP2,ENSG00000169668,HGNC Symbol,BCR-2
21122286,21102984,BCRP2,ENSG00000169668,HGNC Symbol,BCR2
21122286,21102984,BCRP2,ENSG00000169668,HGNC Symbol,BCRL2
21124451,21114607,,ENSG00000197210,,
21128063,21125660,POM121L7P,ENSG00000239511,HGNC Symbol,POM121L7
21142371,21141624,E2F6P2,ENSG00000224688,HGNC Symbol,
21192156,21167758,FAM230B,ENSG00000215498,HGNC Symbol,FLJ46366
21179875,21177892,,ENSG00000234503,,
21203755,21193360,FAM247A,ENSG00000283972,HGNC Symbol,
21227637,21207973,GGT2,ENSG00000133475,HGNC Symbol,GGT
21229138,21228760,,ENSG00000283145,,
21268903,21268161,E2F6P3,ENSG00000226885,HGNC Symbol,
21284161,21282881,POM121L8P,ENSG00000229266,HGNC Symbol,
21294586,21290760,BCRP6,ENSG00000169662,HGNC Symbol,
21325042,21300990,FAM230H,ENSG00000206142,HGNC Symbol,AP000552.1
21314904,21312920,,ENSG00000237407,,
21345258,21341595,PPP1R26P5,ENSG00000232771,HGNC Symbol,KIAA0649P5
21358067,21354563,LINC01651,ENSG00000279920,HGNC Symbol,
21361299,21360601,FAM246A,ENSG00000286102,HGNC Symbol,
21371945,21370064,,ENSG00000226534,,
21379701,21379382,Metazoa_SRP,ENSG00000273846,RFAM,
21389478,21383374,RIMBP3B,ENSG00000274600,HGNC Symbol,
21389491,21389191,RN7SKP63,ENSG00000200057,HGNC Symbol,
21389938,21389796,,ENSG00000252020,,
21396590,21396273,Metazoa_SRP,ENSG00000275840,RFAM,
21451463,21417371,HIC2,ENSG00000169635,HGNC Symbol,HRG22
21451463,21417371,HIC2,ENSG00000169635,HGNC Symbol,KIAA1020
21451463,21417371,HIC2,ENSG00000169635,HGNC Symbol,ZBTB30
21451463,21417371,HIC2,ENSG00000169635,HGNC Symbol,ZNF907
21464279,21463963,Metazoa_SRP,ENSG00000276800,RFAM,
21471269,21466423,TMEM191C,ENSG00000206140,HGNC Symbol,
21517533,21473000,PI4KAP2,ENSG00000183506,HGNC Symbol,
21545039,21544897,,ENSG00000252143,,
21545644,21545344,RN7SKP221,ENSG00000222352,HGNC Symbol,
21551461,21545666,RIMBP3C,ENSG00000183246,HGNC Symbol,
21624034,21549447,UBE2L3,ENSG00000185651,HGNC Symbol,UBCH7
21555457,21555138,Metazoa_SRP,ENSG00000275293,RFAM,
21630064,21628089,YDJC,ENSG00000161179,HGNC Symbol,
21637329,21632716,CCDC116,ENSG00000161180,HGNC Symbol,FLJ36046
21641284,21640844,,ENSG00000273342,,
21644299,21642302,SDF2L1,ENSG00000128228,HGNC Symbol,AP000553.C22.4
21644299,21642302,SDF2L1,ENSG00000128228,HGNC Symbol,OTTHUMT00000075032
21670237,21652270,,ENSG00000207751,,
21653058,21652981,MIR301B,ENSG00000212102,HGNC Symbol,hsa-mir-301b
21653058,21652981,MIR301B,ENSG00000212102,HGNC Symbol,MIRN301B
21653385,21653304,MIR130B,ENSG00000283871,HGNC Symbol,hsa-mir-130b
21653385,21653304,MIR130B,ENSG00000283871,HGNC Symbol,MIRN130B
21661021,21657811,,ENSG00000284630,,
21661295,21661242,,ENSG00000284651,,
21661593,21661476,,ENSG00000284654,,
21661929,21661859,,ENSG00000284621,,
21662363,21661934,,ENSG00000272954,,
21700015,21666000,PPIL2,ENSG00000100023,HGNC Symbol,CYC4
21700015,21666000,PPIL2,ENSG00000100023,HGNC Symbol,Cyp-60
21700015,21666000,PPIL2,ENSG00000100023,HGNC Symbol,UBOX7
21735794,21697536,YPEL1,ENSG00000100027,HGNC Symbol,
21714013,21712761,,ENSG00000286365,,
21723182,21722895,RN7SL280P,ENSG00000244671,HGNC Symbol,
21744108,21737448,,ENSG00000286127,,
21867680,21759657,MAPK1,ENSG00000100030,HGNC Symbol,ERK
21867680,21759657,MAPK1,ENSG00000100030,HGNC Symbol,ERK2
21867680,21759657,MAPK1,ENSG00000100030,HGNC Symbol,MAPK2
21867680,21759657,MAPK1,ENSG00000100030,HGNC Symbol,p41mapk
21867680,21759657,MAPK1,ENSG00000100030,HGNC Symbol,PRKM1
21867680,21759657,MAPK1,ENSG00000100030,HGNC Symbol,PRKM2
21792524,21792434,RNA5SP493,ENSG00000200985,HGNC Symbol,RN5S493
21835671,21816890,,ENSG00000289564,,
21885673,21885282,,ENSG00000225544,,
21952848,21919425,PPM1F,ENSG00000100034,HGNC Symbol,CAMKP
21952848,21919425,PPM1F,ENSG00000100034,HGNC Symbol,CaMKPase
21952848,21919425,PPM1F,ENSG00000100034,HGNC Symbol,FEM-2
21952848,21919425,PPM1F,ENSG00000100034,HGNC Symbol,KIAA0015
21952848,21919425,PPM1F,ENSG00000100034,HGNC Symbol,POPX2
21977632,21938269,PPM1F-AS1,ENSG00000224086,HGNC Symbol,
21982813,21957025,TOP3B,ENSG00000100038,HGNC Symbol,
22043934,21991099,PRAMENP,ENSG00000197549,HGNC Symbol,FLJ16327
22043934,21991099,PRAMENP,ENSG00000197549,HGNC Symbol,PRAMEF24P
22043934,21991099,PRAMENP,ENSG00000197549,HGNC Symbol,PRAMEL
22026593,22026076,IGLVI-70,ENSG00000253239,HGNC Symbol,IGLV(I)-70
22031472,22030934,IGLV4-69,ENSG00000211637,HGNC Symbol,
22033194,22032745,IGLVI-68,ENSG00000254355,HGNC Symbol,IGLV(I)-68
22040065,22036344,,ENSG00000278657,,
22039126,22038643,,ENSG00000249333,,
22043942,22043618,IGLV10-67,ENSG00000253794,HGNC Symbol,
22046591,22046430,,ENSG00000228161,,
22058892,22058433,IGLVIV-66-1,ENSG00000253874,HGNC Symbol,IGLV(IV)-66-1
22061538,22061077,IGLVV-66,ENSG00000254075,HGNC Symbol,IGLV(V)-66
22070707,22070225,IGLVIV-65,ENSG00000254161,HGNC Symbol,IGLV(IV)-65
22075666,22075366,IGLVIV-64,ENSG00000253242,HGNC Symbol,IGLV(IV)-64
22080263,22079770,IGLVI-63,ENSG00000253752,HGNC Symbol,IGLV(I)-63
22087110,22086561,IGLV1-62,ENSG00000253823,HGNC Symbol,
22088085,22087924,,ENSG00000275361,,
22099212,22098700,IGLV8-61,ENSG00000211638,HGNC Symbol,
22104857,22103219,,ENSG00000225741,,
22118005,22114844,ABHD17AP5,ENSG00000263366,HGNC Symbol,FAM108A6
22118005,22114844,ABHD17AP5,ENSG00000263366,HGNC Symbol,FAM108A6P
22155942,22155582,,ENSG00000236118,,
22157631,22157382,,ENSG00000233720,,
22162681,22162199,IGLV4-60,ENSG00000211639,HGNC Symbol,
22168634,22168289,,ENSG00000227710,,
22171556,22170983,SOCS2P2,ENSG00000224465,HGNC Symbol,
22179477,22179228,IGLVIV-59,ENSG00000254308,HGNC Symbol,IGLV(IV)-59
22182885,22182582,IGLVV-58,ENSG00000253637,HGNC Symbol,IGLV(V)-58
22186619,22185941,BMP6P1,ENSG00000236323,HGNC Symbol,
22196276,22195799,IGLV6-57,ENSG00000211640,HGNC Symbol,
22199011,22198560,IGLVI-56,ENSG00000253126,HGNC Symbol,IGLV(I)-56
22202161,22201663,IGLV11-55,ENSG00000211641,HGNC Symbol,
22215270,22214794,IGLV10-54,ENSG00000211642,HGNC Symbol,
22220133,22219647,IGLVIV-53,ENSG00000253935,HGNC Symbol,IGLV(IV)-53
22224566,22223187,TOP3BP1,ENSG00000228050,HGNC Symbol,TOP3B2
22230469,22228719,,ENSG00000234726,,
22245515,22244780,VPREB1,ENSG00000169575,HGNC Symbol,CD179A
22245515,22244780,VPREB1,ENSG00000169575,HGNC Symbol,VpreB
22273020,22264601,,ENSG00000279278,,
22287220,22283928,,ENSG00000274422,,
22294794,22293733,,ENSG00000234630,,
22329122,22298124,,ENSG00000286129,,
22310401,22303224,,ENSG00000272779,,
22319226,22318727,IGLV5-52,ENSG00000211643,HGNC Symbol,
22322969,22322472,IGLV1-51,ENSG00000211644,HGNC Symbol,
22327814,22327300,IGLV1-50,ENSG00000211645,HGNC Symbol,
22341214,22339573,ASH2LP3,ENSG00000225724,HGNC Symbol,
22343732,22343187,IGLV9-49,ENSG00000223350,HGNC Symbol,
22348164,22347807,,ENSG00000232515,,
22353433,22352940,IGLV5-48,ENSG00000211647,HGNC Symbol,
22358260,22357739,IGLV1-47,ENSG00000211648,HGNC Symbol,
22367770,22366210,ASH2LP2,ENSG00000237428,HGNC Symbol,
22370087,22369614,IGLV7-46,ENSG00000211649,HGNC Symbol,
22371120,22370829,,ENSG00000232603,,
22376505,22375986,IGLV5-45,ENSG00000211650,HGNC Symbol,
22381347,22380766,IGLV1-44,ENSG00000211651,HGNC Symbol,
22395489,22395018,IGLV7-43,ENSG00000211652,HGNC Symbol,
22397524,22397032,IGLVI-42,ENSG00000254175,HGNC Symbol,IGLV(I)-42
22398999,22398849,IGLVVII-41-1,ENSG00000254073,HGNC Symbol,IGLV(VII)-41-1
22404721,22404207,IGLV1-41,ENSG00000253818,HGNC Symbol,
22410282,22409766,IGLV1-40,ENSG00000211653,HGNC Symbol,
22421310,22420326,ASH2LP1,ENSG00000224144,HGNC Symbol,
22426314,22425821,IGLVI-38,ENSG00000253889,HGNC Symbol,IGLV(I)-38
22428035,22427540,IGLV5-37,ENSG00000211654,HGNC Symbol,
22432465,22431958,IGLV1-36,ENSG00000211655,HGNC Symbol,
22448336,22446686,,ENSG00000230821,,
22450652,22450202,IGLV7-35,ENSG00000253631,HGNC Symbol,
22465986,22465659,,ENSG00000226595,,
22508742,22484421,ZNF280B,ENSG00000275004,HGNC Symbol,5'OY11.1
22508742,22484421,ZNF280B,ENSG00000275004,HGNC Symbol,SUHW2
22508742,22484421,ZNF280B,ENSG00000275004,HGNC Symbol,ZNF279
22508742,22484421,ZNF280B,ENSG00000275004,HGNC Symbol,ZNF632
22520270,22513736,ZNF280A,ENSG00000169548,HGNC Symbol,3'OY11.1
22520270,22513736,ZNF280A,ENSG00000169548,HGNC Symbol,SUHW1
22520270,22513736,ZNF280A,ENSG00000169548,HGNC Symbol,ZNF280
22520270,22513736,ZNF280A,ENSG00000169548,HGNC Symbol,ZNF636
22559361,22547701,PRAME,ENSG00000185686,HGNC Symbol,CT130
22559361,22547701,PRAME,ENSG00000185686,HGNC Symbol,MAPE
22566602,22559343,LL22NC03-63E9.3,ENSG00000220891,NCBI gene (formerly Entrezgene),
22580296,22580014,IGLV2-34,ENSG00000253120,HGNC Symbol,
22588688,22588155,IGLV2-33,ENSG00000211656,HGNC Symbol,
22595056,22594528,IGLV3-32,ENSG00000211657,HGNC Symbol,
22605165,22604445,IGLV3-31,ENSG00000253920,HGNC Symbol,
22619163,22618572,IGLV3-30,ENSG00000253329,HGNC Symbol,
22636153,22630065,BCRP4,ENSG00000215456,HGNC Symbol,BCR-4
22636153,22630065,BCRP4,ENSG00000215456,HGNC Symbol,BCR4
22636153,22630065,BCRP4,ENSG00000215456,HGNC Symbol,BCRL4
22633849,22630546,,ENSG00000286941,,
22644473,22639177,POM121L1P,ENSG00000183169,HGNC Symbol,POM121L1
22647898,22644614,GGTLC2,ENSG00000100121,HGNC Symbol,GGTL4
22661542,22661299,IGLV3-29,ENSG00000253338,HGNC Symbol,
22664907,22664473,IGLV2-28,ENSG00000253451,HGNC Symbol,
22668806,22668288,IGLV3-27,ENSG00000211658,HGNC Symbol,
22673602,22673152,IGLV3-26,ENSG00000253913,HGNC Symbol,
22679345,22679097,IGLVVI-25-1,ENSG00000253779,HGNC Symbol,IGLV(VI)-25-1
22687271,22686726,IGLV3-25,ENSG00000211659,HGNC Symbol,
22689978,22689831,,ENSG00000232350,,
22693312,22692778,,ENSG00000223999,,
22694952,22694439,IGLV3-24,ENSG00000253822,HGNC Symbol,
22698407,22697789,IGLV2-23,ENSG00000211660,HGNC Symbol,
22700970,22700760,IGLVVI-22-1,ENSG00000253546,HGNC Symbol,IGLV(VI)-22-1
22704822,22704265,IGLV3-22,ENSG00000211661,HGNC Symbol,
22713203,22711689,IGLV3-21,ENSG00000211662,HGNC Symbol,
22715419,22715290,IGLVI-20,ENSG00000254240,HGNC Symbol,IGLV(I)-20
22721145,22720623,IGLV3-19,ENSG00000211663,HGNC Symbol,
22731090,22730725,,ENSG00000278667,,
22735089,22734607,IGLV2-18,ENSG00000211664,HGNC Symbol,
22739187,22738944,IGLV3-17,ENSG00000253152,HGNC Symbol,
22747921,22747383,IGLV3-16,ENSG00000211665,HGNC Symbol,
22755797,22755554,IGLV3-15,ENSG00000253786,HGNC Symbol,
22759496,22757217,,ENSG00000288861,,
22759218,22758700,IGLV2-14,ENSG00000211666,HGNC Symbol,
22762516,22762294,IGLV3-13,ENSG00000253590,HGNC Symbol,
22772582,22771824,IGLV3-12,ENSG00000211667,HGNC Symbol,
22774691,22774529,,ENSG00000231392,,
22787268,22785643,,ENSG00000275772,,
22818916,22790853,,ENSG00000289120,,
22793007,22792491,IGLV2-11,ENSG00000211668,HGNC Symbol,
22803360,22803076,,ENSG00000274381,,
22812281,22811747,IGLV3-10,ENSG00000211669,HGNC Symbol,
22814926,22814671,,ENSG00000226477,,
22819756,22819010,IGLV3-9,ENSG00000211670,HGNC Symbol,
22823289,22822658,IGLV2-8,ENSG00000278196,HGNC Symbol,
22822871,22822776,MIR650,ENSG00000284049,HGNC Symbol,hsa-mir-650
22822871,22822776,MIR650,ENSG00000284049,HGNC Symbol,MIRN650
22835117,22834865,,ENSG00000237127,,
22838872,22838602,IGLV3-7,ENSG00000254077,HGNC Symbol,
22850624,22850375,IGLV3-6,ENSG00000253448,HGNC Symbol,
22857038,22856762,IGLV2-5,ENSG00000253234,HGNC Symbol,
22858268,22858025,IGLV3-4,ENSG00000226420,HGNC Symbol,
22872035,22871507,IGLV4-3,ENSG00000211672,HGNC Symbol,
22873440,22873212,IGLV3-2,ENSG00000253963,HGNC Symbol,
22881396,22880706,IGLV3-1,ENSG00000211673,HGNC Symbol,
22886379,22886267,MIR5571,ENSG00000264824,HGNC Symbol,hsa-mir-5571
22896111,22887780,IGLL5,ENSG00000254709,HGNC Symbol,
22893818,22893692,IGLJ1,ENSG00000211674,HGNC Symbol,
22895834,22895375,IGLC1,ENSG00000211675,HGNC Symbol,IGLC
22899655,22899481,IGLJ2,ENSG00000211676,HGNC Symbol,
22901437,22900976,IGLC2,ENSG00000211677,HGNC Symbol,IGLC
22905025,22904850,IGLJ3,ENSG00000211678,HGNC Symbol,
22906803,22906342,IGLC3,ENSG00000211679,HGNC Symbol,IGLC
22910606,22910574,IGLJ4,ENSG00000211680,HGNC Symbol,
22911075,22910828,IGLC4,ENSG00000254029,HGNC Symbol,IGLC
22914308,22914237,IGLJ5,ENSG00000211681,HGNC Symbol,
22915927,22915635,IGLC5,ENSG00000254030,HGNC Symbol,IGLC
22918201,22918132,IGLJ6,ENSG00000211682,HGNC Symbol,
22919851,22919535,IGLC6,ENSG00000222037,HGNC Symbol,IGLC
22921435,22921390,IGLJ7,ENSG00000211684,HGNC Symbol,
22923034,22922594,IGLC7,ENSG00000211685,HGNC Symbol,
22988581,22988263,,ENSG00000237472,,
23008356,22990690,,ENSG00000223679,,
23145021,23059415,RSPH14,ENSG00000100218,HGNC Symbol,RTDR1
23125032,23070519,GNAZ,ENSG00000128266,HGNC Symbol,
23133005,23132730,Metazoa_SRP,ENSG00000283438,RFAM,
23137864,23137805,U7,ENSG00000275635,RFAM,
23165663,23145366,RAB36,ENSG00000100228,HGNC Symbol,
23318037,23179704,BCR,ENSG00000186716,HGNC Symbol,ALL
23318037,23179704,BCR,ENSG00000186716,HGNC Symbol,BCR1
23318037,23179704,BCR,ENSG00000186716,HGNC Symbol,CML
23318037,23179704,BCR,ENSG00000186716,HGNC Symbol,D22S11
23318037,23179704,BCR,ENSG00000186716,HGNC Symbol,D22S662
23318037,23179704,BCR,ENSG00000186716,HGNC Symbol,PHL
23180172,23179918,BCRP8,ENSG00000236794,HGNC Symbol,
23262071,23261782,RN7SL263P,ENSG00000240160,HGNC Symbol,
23265005,23262767,FBXW4P1,ENSG00000230701,HGNC Symbol,FBW3
23265005,23262767,FBXW4P1,ENSG00000230701,HGNC Symbol,FBXW3
23265005,23262767,FBXW4P1,ENSG00000230701,HGNC Symbol,SHFM3P1
23322927,23322543,,ENSG00000214526,,
23328493,23326616,LINC02556,ENSG00000236611,HGNC Symbol,
23387731,23359603,CES5AP1,ENSG00000215478,HGNC Symbol,
23402726,23390605,ZDHHC8P1,ENSG00000133519,HGNC Symbol,FLJ31568
23402726,23390605,ZDHHC8P1,ENSG00000133519,HGNC Symbol,ZDHHC8P
23394792,23392553,,ENSG00000248409,,
23435071,23433518,LINC01659,ENSG00000234928,HGNC Symbol,
23460833,23446598,,ENSG00000227755,,
23486980,23462086,FAM230I,ENSG00000178248,HGNC Symbol,LINC01658
23512662,23510154,,ENSG00000287864,,
23513602,23512494,LINC02557,ENSG00000225413,HGNC Symbol,
23547797,23536881,PCAT14,ENSG00000280623,HGNC Symbol,
23573507,23567064,,ENSG00000224277,,
23580302,23573125,IGLL1,ENSG00000128322,HGNC Symbol,14.1
23580302,23573125,IGLL1,ENSG00000128322,HGNC Symbol,CD179B
23580302,23573125,IGLL1,ENSG00000128322,HGNC Symbol,IGL5
23580302,23573125,IGLL1,ENSG00000128322,HGNC Symbol,IGLL
23580302,23573125,IGLL1,ENSG00000128322,HGNC Symbol,IGVPB
23583859,23580880,,ENSG00000272733,,
23608407,23607041,,ENSG00000278655,,
23632321,23608452,DRICH1,ENSG00000189269,HGNC Symbol,C22orf43
23610538,23610329,,ENSG00000275609,,
23638941,23630618,,ENSG00000211683,,
23717356,23638487,GUSBP11,ENSG00000228315,HGNC Symbol,
23640762,23638492,,ENSG00000234353,,
23653334,23649213,ASLP1,ENSG00000244723,HGNC Symbol,ASLL
23717356,23658094,,ENSG00000272578,,
23699176,23688136,RGL4,ENSG00000159496,HGNC Symbol,Rgr
23751112,23738682,ZNF70,ENSG00000187792,HGNC Symbol,Cos17
23751112,23738682,ZNF70,ENSG00000187792,HGNC Symbol,MGC48959
23754425,23752743,VPREB3,ENSG00000128218,HGNC Symbol,8HS20
23765863,23762990,C22orf15,ENSG00000169314,HGNC Symbol,FLJ36561
23765863,23762990,C22orf15,ENSG00000169314,HGNC Symbol,N27C7-3
23767972,23765834,CHCHD10,ENSG00000250479,HGNC Symbol,C22orf16
23767972,23765834,CHCHD10,ENSG00000250479,HGNC Symbol,MIX17A
23767972,23765834,CHCHD10,ENSG00000250479,HGNC Symbol,N27C7-4
23784316,23768226,MMP11,ENSG00000099953,HGNC Symbol,STMY3
23838009,23786931,SMARCB1,ENSG00000099956,HGNC Symbol,BAF47
23838009,23786931,SMARCB1,ENSG00000099956,HGNC Symbol,hSNFS
23838009,23786931,SMARCB1,ENSG00000099956,HGNC Symbol,Ini1
23838009,23786931,SMARCB1,ENSG00000099956,HGNC Symbol,PPP1R144
23838009,23786931,SMARCB1,ENSG00000099956,HGNC Symbol,RDT
23838009,23786931,SMARCB1,ENSG00000099956,HGNC Symbol,Sfh1p
23838009,23786931,SMARCB1,ENSG00000099956,HGNC Symbol,SNF5
23838009,23786931,SMARCB1,ENSG00000099956,HGNC Symbol,SNF5L1
23838009,23786931,SMARCB1,ENSG00000099956,HGNC Symbol,Snr1
23839128,23834503,DERL3,ENSG00000099958,HGNC Symbol,C22orf14
23839128,23834503,DERL3,ENSG00000099958,HGNC Symbol,derlin-3
23839128,23834503,DERL3,ENSG00000099958,HGNC Symbol,FLJ43842
23839128,23834503,DERL3,ENSG00000099958,HGNC Symbol,IZP6
23839128,23834503,DERL3,ENSG00000099958,HGNC Symbol,MGC71803
23857039,23856427,,ENSG00000272973,,
23886312,23856703,SLC2A11,ENSG00000133460,HGNC Symbol,GLUT10
23886312,23856703,SLC2A11,ENSG00000133460,HGNC Symbol,GLUT11
23895223,23862188,,ENSG00000251357,,
23873277,23865248,,ENSG00000279467,,
23879790,23879493,RN7SL268P,ENSG00000244425,HGNC Symbol,
23895227,23894383,MIF,ENSG00000240972,HGNC Symbol,GIF
23895227,23894383,MIF,ENSG00000240972,HGNC Symbol,GLIF
23898930,23894426,MIF-AS1,ENSG00000218537,HGNC Symbol,LOC284889
23898930,23894426,MIF-AS1,ENSG00000218537,HGNC Symbol,MIF-AS
23907068,23901432,,ENSG00000273295,,
23929574,23926900,,ENSG00000225282,,
23942798,23939998,,ENSG00000206090,,
23954042,23949918,,ENSG00000231271,,
23961195,23957414,GSTT2B,ENSG00000133433,HGNC Symbol,GSTT2P
23964374,23963780,,ENSG00000228039,,
23972556,23966888,DDTL,ENSG00000099974,HGNC Symbol,
23969873,23969211,,ENSG00000272787,,
23979828,23971365,DDT,ENSG00000099977,HGNC Symbol,D-DT
23979828,23971365,DDT,ENSG00000099977,HGNC Symbol,DDCT
23979828,23971365,DDT,ENSG00000099977,HGNC Symbol,MIF-2
23979828,23971365,DDT,ENSG00000099977,HGNC Symbol,MIF2
23980469,23971378,,ENSG00000285762,,
23991421,23976872,,ENSG00000224205,,
23977585,23976904,,ENSG00000250470,,
23983915,23980058,GSTT2,ENSG00000099984,HGNC Symbol,
24005453,23998401,GSTT4,ENSG00000276950,HGNC Symbol,GSTTP1
24005453,23998401,GSTT4,ENSG00000276950,HGNC Symbol,HS322B1A
24008258,24006305,,ENSG00000235689,,
24178628,24011192,CABIN1,ENSG00000099991,HGNC Symbol,KIAA0330
24178628,24011192,CABIN1,ENSG00000099991,HGNC Symbol,PPP3IN
24103354,24101689,,ENSG00000232545,,
24189106,24181487,SUSD2,ENSG00000099994,HGNC Symbol,BK65A6.2
24189106,24181487,SUSD2,ENSG00000099994,HGNC Symbol,FLJ22778
24189106,24181487,SUSD2,ENSG00000099994,HGNC Symbol,W5C5
24245108,24219654,GGT5,ENSG00000099998,HGNC Symbol,GGT-REL
24245108,24219654,GGT5,ENSG00000099998,HGNC Symbol,GGTLA1
24249466,24248074,GGTLC4P,ENSG00000230712,HGNC Symbol,
24265525,24251828,POM121L9P,ENSG00000128262,HGNC Symbol,
24263764,24259929,BCRP1,ENSG00000225098,HGNC Symbol,BCR-1
24270134,24269346,,ENSG00000215464,,
24417739,24270817,SPECC1L,ENSG00000100014,HGNC Symbol,CYTSA
24417739,24270817,SPECC1L,ENSG00000100014,HGNC Symbol,KIAA0376
24442356,24270898,SPECC1L-ADORA2A,ENSG00000258555,HGNC Symbol,
24442357,24417879,ADORA2A,ENSG00000128271,HGNC Symbol,ADORA2
24442357,24417879,ADORA2A,ENSG00000128271,HGNC Symbol,RDC8
24495074,24429206,ADORA2A-AS1,ENSG00000178803,HGNC Symbol,C22orf45
24495074,24429206,ADORA2A-AS1,ENSG00000178803,HGNC Symbol,FLJ34651
24528390,24494107,UPB1,ENSG00000100024,HGNC Symbol,BUP1
24518386,24516508,,ENSG00000228923,,
24555935,24540423,GUCD1,ENSG00000138867,HGNC Symbol,C22orf13
24555935,24540423,GUCD1,ENSG00000138867,HGNC Symbol,LLN4
24555935,24540423,GUCD1,ENSG00000138867,HGNC Symbol,MGC1842
24582052,24555958,SNRPD3,ENSG00000100028,HGNC Symbol,Sm-D3
24582052,24555958,SNRPD3,ENSG00000100028,HGNC Symbol,SMD3
24628987,24556007,,ENSG00000286070,,
24593208,24585620,LRRC75B,ENSG00000178026,HGNC Symbol,C22orf36
24593208,24585620,LRRC75B,ENSG00000178026,HGNC Symbol,FAM211B
24593208,24585620,LRRC75B,ENSG00000178026,HGNC Symbol,MGC131773
24629005,24594811,GGT1,ENSG00000100031,HGNC Symbol,CD224
24629005,24594811,GGT1,ENSG00000100031,HGNC Symbol,D22S672
24629005,24594811,GGT1,ENSG00000100031,HGNC Symbol,D22S732
24629005,24594811,GGT1,ENSG00000100031,HGNC Symbol,GGT
24599398,24598054,,ENSG00000230947,,
24650012,24632915,BCRP3,ENSG00000215481,HGNC Symbol,BCR3
24650012,24632915,BCRP3,ENSG00000215481,HGNC Symbol,BCRL3
24650012,24632915,BCRP3,ENSG00000215481,HGNC Symbol,BCRL6
24633443,24633272,,ENSG00000284233,,
24653356,24644791,,ENSG00000284128,,
24651657,24645171,,ENSG00000284070,,
24658765,24657481,POM121L10P,ENSG00000224124,HGNC Symbol,
24686679,24686168,ARL5AP4,ENSG00000224806,HGNC Symbol,
24688087,24686923,,ENSG00000224334,,
24696003,24691122,,ENSG00000282012,,
24703503,24703348,,ENSG00000237601,,
24712520,24712292,CRIP1P4,ENSG00000182351,HGNC Symbol,
24774720,24719034,PIWIL3,ENSG00000184571,HGNC Symbol,HIWI3
24927578,24806169,SGSM1,ENSG00000167037,HGNC Symbol,KIAA1941
24927578,24806169,SGSM1,ENSG00000167037,HGNC Symbol,RUTBC2
24901214,24901147,,ENSG00000199783,,
24946695,24935098,TMEM211,ENSG00000206069,HGNC Symbol,bA9F11.1
25197448,24952716,KIAA1671,ENSG00000197077,HGNC Symbol,
25015072,25009685,,ENSG00000279085,,
25024652,25022594,,ENSG00000279548,,
25051966,25048967,,ENSG00000279006,,
25065241,25052122,,ENSG00000279110,,
25112692,25102433,KIAA1671-AS1,ENSG00000203280,HGNC Symbol,
25179554,25179309,,ENSG00000271181,,
25207359,25199858,CRYBB3,ENSG00000100053,HGNC Symbol,CRYB3
25213826,25212085,,ENSG00000236641,,
25231870,25212564,CRYBB2,ENSG00000244752,HGNC Symbol,CCA2
25231870,25212564,CRYBB2,ENSG00000244752,HGNC Symbol,CRYB2
25231870,25212564,CRYBB2,ENSG00000244752,HGNC Symbol,CRYB2A
25252602,25251523,,ENSG00000279298,,
25282674,25279529,,ENSG00000233577,,
25320086,25282613,,ENSG00000285968,,
25300791,25282943,,ENSG00000285690,,
25320080,25318256,IGLL3P,ENSG00000206066,HGNC Symbol,16.1
25320080,25318256,IGLL3P,ENSG00000206066,HGNC Symbol,IGLL3
25339975,25327252,,ENSG00000230637,,
25350322,25349543,,ENSG00000231466,,
25405377,25351418,LRP5L,ENSG00000100068,HGNC Symbol,DKFZp434O0213
25435070,25434324,,ENSG00000272942,,
25436915,25436312,,ENSG00000272798,,
25437823,25437306,IGLVIVOR22-1,ENSG00000271138,HGNC Symbol,IGLV(IV)/OR22-1
25520856,25448080,CRYBB2P1,ENSG00000100058,HGNC Symbol,CRYB2B
25455711,25455646,MIR6817,ENSG00000277872,HGNC Symbol,hsa-mir-6817
25479971,25476218,,ENSG00000272977,,
25564719,25561117,,ENSG00000234884,,
25729294,25564675,GRK3,ENSG00000100077,HGNC Symbol,ADRBK2
25729294,25564675,GRK3,ENSG00000100077,HGNC Symbol,BARK2
25581382,25580241,,ENSG00000237387,,
25649232,25647261,YES1P1,ENSG00000224003,HGNC Symbol,D22S670
25649232,25647261,YES1P1,ENSG00000224003,HGNC Symbol,SYR
25649232,25647261,YES1P1,ENSG00000224003,HGNC Symbol,YES2
25649232,25647261,YES1P1,ENSG00000224003,HGNC Symbol,YESP
25715169,25715041,RNA5SP494,ENSG00000222585,HGNC Symbol,RN5S494
26031045,25742144,MYO18B,ENSG00000133454,HGNC Symbol,BK125H2.1
25756669,25756318,,ENSG00000278960,,
25903247,25876854,MYO18B-AS1,ENSG00000231933,HGNC Symbol,
